epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.3032,0.70502,0.95238,1,0.15289,0.0674125,0.000329167,0.000329167
2,41.3608,0.45582,0.92381,1,0.18518,0.0344119,0.000661853,0.000661853
3,60.4771,0.50929,0.85714,1,0.45642,0.00140861,0.000991946,0.000991946
4,79.4215,0.44189,0.88571,1,0.29858,0.000991232,0.000991232,0.000991232
5,98.274,0.39761,0.87619,1,0.29563,0.000984449,0.000984449,0.000984449
6,117.188,0.33176,0.87619,1,0.23779,0.000975773,0.000975773,0.000975773
7,135.987,0.28701,0.95238,1,0.18056,0.000965239,0.000965239,0.000965239
8,155.025,0.33024,0.91429,1,0.42862,0.000952889,0.000952889,0.000952889
9,173.848,0.27661,0.92381,1,0.28824,0.000938772,0.000938772,0.000938772
10,192.76,0.20448,0.9619,1,0.16385,0.000922942,0.000922942,0.000922942
11,211.853,0.24836,0.93333,1,0.27689,0.000905463,0.000905463,0.000905463
12,230.601,0.2083,0.95238,1,0.1555,0.000886404,0.000886404,0.000886404
13,249.182,0.18491,0.93333,1,0.23965,0.000865839,0.000865839,0.000865839
14,267.797,0.19944,0.97143,1,0.14231,0.000843851,0.000843851,0.000843851
15,286.558,0.17731,0.9619,1,0.08986,0.000820525,0.000820525,0.000820525
16,305.18,0.19282,0.97143,1,0.17175,0.000795954,0.000795954,0.000795954
17,323.976,0.17631,0.95238,1,0.18323,0.000770234,0.000770234,0.000770234
18,342.595,0.14958,0.93333,1,0.14036,0.000743468,0.000743468,0.000743468
19,361.326,0.1447,0.94286,1,0.15002,0.000715761,0.000715761,0.000715761
20,379.97,0.10917,0.94286,1,0.32516,0.000687222,0.000687222,0.000687222
21,398.554,0.10511,0.95238,1,0.28091,0.000657963,0.000657963,0.000657963
22,416.566,0.1019,0.93333,1,0.24379,0.000628101,0.000628101,0.000628101
23,434.538,0.09236,0.9619,1,0.16624,0.000597754,0.000597754,0.000597754
24,452.564,0.10576,0.95238,1,0.26809,0.00056704,0.00056704,0.00056704
